Star_Name,TPF_Found,Found_Star_Name,Num_Results,Target_Name,exptime_1800,exptime_60,Mission,exptime_120,exptime_20,exptime_600,exptime_200
Kepler-1663,True,Gaia DR2 2129578826996503040,50,kplr011187837,17.0,33.0,Kepler,0.0,0.0,0.0,0.0
K2-33,True,K2-33,1,ktwo205117205,1.0,0.0,K2,0.0,0.0,0.0,0.0
TOI-1227,True,TOI-1227,11,360156606,2.0,0.0,TESS/HLSP,5.0,3.0,1.0,0.0
HD 114082,True,HD 114082,4,441546821,0.0,0.0,TESS/HLSP,3.0,0.0,1.0,0.0
HIP 67522,True,HIP 67522,6,166527623,1.0,0.0,TESS/HLSP,3.0,1.0,1.0,0.0
WASP-25,True,WASP-25,2,229047362,1.0,0.0,TESS/HLSP,1.0,0.0,0.0,0.0
AU Mic,True,AU Mic,5,441420236,1.0,0.0,TESS/HLSP,2.0,1.0,1.0,0.0
V1298 Tau,True,V1298 Tau,7,ktwo210818897,1.0,0.0,TESS/HLSP/K2,2.0,2.0,2.0,0.0
HD 109833,True,HD 109833,8,360630575,2.0,0.0,TESS/HLSP,2.0,2.0,2.0,0.0
CoRoT-18,True,CoRoT-18,5,37168957,1.0,0.0,TESS/HLSP,2.0,1.0,1.0,0.0
TOI-837,True,TOI-837,12,460205581,2.0,0.0,TESS/HLSP,6.0,2.0,2.0,0.0
KOI-7913 A,True,TIC 158320130,10,158320130,0.0,0.0,TESS/HLSP,5.0,0.0,5.0,0.0
KOI-7368,True,KOI-7368,26,kplr010736489,18.0,0.0,TESS/HLSP/Kepler,4.0,0.0,4.0,0.0
DS Tuc A,True,HD 222259 A,12,410214986,1.0,0.0,TESS/HLSP,5.0,4.0,2.0,0.0
Kepler-1643,True,Kepler-1643,17,kplr008653134,17.0,0.0,Kepler,0.0,0.0,0.0,0.0
TOI-942,True,TOI-942,3,146520535,1.0,0.0,TESS/HLSP,1.0,0.0,1.0,0.0
CoRoT-20,True,CoRoT-20,5,234825296,1.0,0.0,TESS/HLSP,2.0,1.0,1.0,0.0
