hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_telescope,rv_flag,tran_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbper_reflink,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_spectype,st_spectype_reflink,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teff_reflink,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lum_reflink,st_age,st_ageerr1,st_ageerr2,st_agelim,st_age_reflink,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_rotp_reflink,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Kepler-1663,,,TIC 407001589,Gaia DR2 2129578826996503040,1,1,Transit,2020,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,0.95 m Kepler Telescope,0,1,0,17.6046,,,0,<a refstr=ARMSTRONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.504.5327A/abstract target=ref>Armstrong et al. 2021</a>,3.304,,,0,,,3844.0,157.0,-157.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0,0.06,0.11,-0.11,0,[Fe/H],-1.109,0.089,-0.112,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,2.3,-2.3,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,,,,,19h21m36.36s,290.40152,+48d49m21.80s,48.822723,337.926,3.407,-3.407,16.069,0.16,-0.16,12.552,0.031,-0.031,15.6164,0.000494,-0.000494
K2-33,,,TIC 49040478,Gaia DR2 6245758900889486720,1,1,Transit,2016,<a refstr=DAVID_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.534..658D/abstract target=ref>David et al. 2016</a>,0.95 m Kepler Telescope,0,1,0,5.424865,3.5e-05,-3.1e-05,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,5.04,0.34,-0.37,0,M3.3,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,3540.0,70.0,-70.0,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,1.05,0.07,-0.07,0,0.56,0.09,-0.09,0,,,,,,-0.824,0.079,-0.097,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,0.009,0.001,-0.001,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,6.29,0.17,-0.17,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,16h10m14.73s,242.56137,-19d19m09.78s,-19.319384,139.268,1.532,-1.499,15.838,0.126,-0.126,10.026,0.019,-0.019,14.157,0.0009,-0.0009
TOI-1227,,,TIC 360156606,Gaia DR2 5842480953772012928,1,1,Transit,2022,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,0.1 m TESS Telescope,0,1,0,27.36397,0.00011,-0.00011,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,9.572,0.751,-0.583,0,M4.5V-M5V,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,3072.0,74.0,-74.0,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,0.56,0.03,-0.03,0,0.17,0.02,-0.02,0,,,,,,-2.6,0.028,-0.03,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,0.011,0.002,-0.002,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,1.65,0.04,-0.04,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,12h27m04.17s,186.76736,-72d27m06.66s,-72.45185,100.641,0.573,-0.566,16.999,1.133,-1.133,11.034,0.021,-0.021,15.2514,0.000848,-0.000848
HD 114082,HD 114082,HIP 64184,TIC 441546821,Gaia DR2 6055854551117476480,1,1,Radial Velocity,2022,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,2.2 m MPG/ESO Telescope,1,1,0,109.75,0.4,-0.37,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,11.209,0.336,-0.336,0,F3 V,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,6651.0,35.0,-35.0,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,1.49,0.05,-0.05,0,1.47,0.07,-0.07,0,0.0,0.03,-0.03,0,[Fe/H],0.583,0.006,-0.006,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,0.015,0.006,-0.006,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,1.92,0.02,-0.02,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,13h09m16.11s,197.31712,-60d18m30.36s,-60.308434,95.3906,0.4518,-0.4476,8.2,0.03,-0.03,7.163,0.031,-0.031,8.09394,0.000327,-0.000327
HIP 67522,HD 120411,HIP 67522,TIC 166527623,Gaia DR2 6113920619134019456,1,1,Transit,2020,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,0.1 m TESS Telescope,0,1,0,6.959503,1.6e-05,-1.5e-05,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,10.07,0.47,-0.47,0,G1 V,"<a refstr=MICHIGAN_CATALOG__VOL__2 href=https://ui.adsabs.harvard.edu/abs/1978MSS...C02....0H/abstract target=ref> Michigan Catalog, Vol. 2 </a>",5675.0,75.0,-75.0,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,1.38,0.06,-0.06,0,1.22,0.05,-0.05,0,0.0,,,0,,0.243,0.022,-0.023,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,0.017,0.002,-0.002,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,1.42,0.02,-0.02,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,13h50m06.24s,207.526,-40d50m09.23s,-40.835896,127.28,1.105,-1.087,9.79,0.03,-0.03,8.164,0.026,-0.026,9.63261,0.002283,-0.002283
WASP-25,,,TIC 229047362,Gaia DR2 6186950525042445824,1,1,Transit,2010,<a refstr=ENOCH_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1009.5917E/abstract target=ref> Enoch et al. 2010 </a>,Canon 200mm f/1.8L,1,1,0,3.76483,5e-06,-5e-06,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,11.994,1.121,-1.121,0,,,5750.0,100.0,-100.0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.8,0.08,-0.08,0,0.67,0.22,-0.22,0,-0.05,,,0,[Fe/H],-0.143,0.005,-0.005,0,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,0.02,4.0,-0.01,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,,,,,13h01m26.34s,195.35976,-27d31m20.02s,-27.522228,211.416,1.468,-1.447,11.875,0.027,-0.027,10.174,0.021,-0.021,11.6885,0.000335,-0.000335
AU Mic,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,1,2,Transit,2020,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,0.1 m TESS Telescope,1,1,0,8.4629991,,,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,4.07,0.17,-0.17,0,M1,<a refstr=KLEIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..188K/abstract target=ref>Klein et al. 2021</a>,3588.0,87.0,-87.0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.7,0.02,-0.02,0,0.5,0.03,-0.03,0,,,,,,-1.046,0.087,-0.109,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,0.022,0.003,-0.003,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,4.86,0.01,-0.01,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,20h45m09.87s,311.29114,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
V1298 Tau,,,TIC 15756231,Gaia DR2 51886335968692480,3,4,Transit,2019,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,0.95 m Kepler Telescope,0,1,0,12.4032,0.0015,-0.0015,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,6.41,0.45,-0.4,0,K1,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs...6..232S/abstract target=ref>Su&aacuterez Mascare&ntildeo et al. 2022</a>,5050.0,100.0,-100.0,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs...6..232S/abstract target=ref>Su&aacuterez Mascare&ntildeo et al. 2022</a>,1.34,0.06,-0.05,0,1.1,0.05,-0.05,0,0.1,0.15,-0.15,0,[Fe/H],-0.02,0.018,-0.019,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs...6..232S/abstract target=ref>Su&aacuterez Mascare&ntildeo et al. 2022</a>,0.023,0.004,-0.004,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,2.87,0.02,-0.02,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,04h05m19.60s,61.331654,+20d09m25.31s,20.157032,108.199,0.704,-0.696,10.115,0.009,-0.009,8.094,0.021,-0.021,10.0702,0.000682,-0.000682
HD 109833,HD 109833,HIP 61723,TIC 360630575,Gaia DR2 5838450865699668736,1,2,Transit,2022,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,0.1 m TESS Telescope,0,1,0,9.188526,2.6e-05,-2.6e-05,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,2.888,0.152,-0.127,0,,,5881.0,50.0,-50.0,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,1.0,0.04,-0.04,0,1.08,0.05,-0.05,0,-0.07,0.08,-0.08,0,[M/H],0.072,0.028,-0.03,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,0.027,0.003,-0.003,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,5.11,0.51,-0.51,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,12h39m06.21s,189.77586,-74d34m26.47s,-74.57402,79.5561,0.1488,-0.1483,9.29,0.03,-0.03,7.82,0.026,-0.026,9.13657,0.000402,-0.000402
CoRoT-18,,,TIC 37168957,Gaia DR2 3120058170178779392,1,1,Transit,2011,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,0.27 m CoRoT Telescope,1,1,0,1.9000693,2.8e-06,-2.8e-06,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,14.68,2.02,-2.02,0,G9 V,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,5440.0,100.0,-100.0,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.0,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0,[Fe/H],-0.17,0.06,-0.06,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,0.032,0.003,-0.003,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,5.4,0.4,-0.4,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,06h32m41.38s,98.17242,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211
